item_type,item_id,field,old_value,row_count,paper_count,supported_count,example_papers,example_titles,new_value,decision,notes
game,not_reported,game_name,not_reported,127,15,101,paper_002 | paper_014 | paper_121 | paper_127 | paper_142,The effects of an action video game on visual and affective information processing | Improving action video games abilities increases the phonological decoding speed and phonological short-term memory in children with developmental dyslexia | The impact of explicit mental health messages in video games on players’ motivation and affect,,,
game,World of Warcraft,game_name,World of Warcraft,55,11,42,paper_064 | paper_087 | paper_096 | paper_100 | paper_102,World of Warcraft and the impact of game culture and play in an undergraduate game design course | Call of (civic) duty: Action games and civic behavior in a large sample of youth | Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike,,,
game,Nintendo Wii,game_name,Nintendo Wii,103,10,40,paper_001 | paper_008 | paper_170 | paper_172 | paper_174,Activity and Energy Expenditure in Older People Playing Active Video Games | FlashReport Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior | Active video games as an exercise tool for children with cystic ﬁbrosis,,,
game,first-person shooter,game_name,first-person shooter,168,6,140,paper_092 | paper_093 | paper_162 | paper_231 | paper_250,The gorilla in the room: The impacts of video-game play on visual attention | The interplay between immersion and appeal in video games | Self-reported playing preferences resonate with emotion-related physiological reactions during playing and watching of first-person shooter videogames,,,
game,MMORPG,game_name,MMORPG,59,6,51,paper_086 | paper_114 | paper_116 | paper_139 | paper_148,Beyond the fascination of online-games: Probing addictive behavior and depression in the world of online-gaming | Shoot at ﬁrst sight! First person shooter players display reduced reaction time and compromised inhibitory control in comparison to other video game players | Identity formation in adolescent and emerging adult regular players of massively multiplayer online role-playing games (MMORPG),,,
game,video games,game_name,video games,27,6,23,paper_036 | paper_175 | paper_197 | paper_244 | paper_260,"Effectiveness of serious games in social skills training to autistic individuals: A systematic review | Video-game based instruction for vocabulary acquisition with English language learners: A Bayesian meta-analysis | under the license (http://creativecommons.org/licenses/by/4.0/). The effect of video games, exergames and board games on executive functions in kindergarten and 2nd grade: An explorative longitudinal study",,,
game,Call of Duty,game_name,Call of Duty,21,6,21,paper_087 | paper_141 | paper_216 | paper_271 | paper_280,"Call of (civic) duty: Action games and civic behavior in a large sample of youth | Enhanced disengagement of auditory attention and phonological skills in action video gamers | Beyond hours of video gameplay: Connections between verbal aggressiveness, genre preference, and technology used",,,
game,action video games,game_name,action video games,280,5,280,paper_025 | paper_166 | paper_229 | paper_250 | paper_273,Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task | This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/). Do action video games make safer drivers? The effects of video game experience on simulated driving performance | Influence of action video gaming on spatial representation in the haptic modality,,,
game,League of Legends,game_name,League of Legends,208,5,117,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
game,virtual reality,game_name,virtual reality,45,4,42,paper_003 | paper_036 | paper_190 | paper_267,Interactive video games to reduce paediatric procedural pain and anxiety: a systematic review and meta-analysis | Effectiveness of serious games in social skills training to autistic individuals: A systematic review | This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of the KES International. 10.1016/j.procs.2020.09.199,,,
game,Wii,game_name,Wii,13,4,7,paper_037 | paper_255 | paper_267 | paper_307,"Can we reliably measure the general factor of intelligence (g) through commercial video games? Yes, we can! | The Substitution Effect of Mobile Games on Console Games: An Empirical Analysis of the Japanese Video Game Industry | Are active video games useful in the development of gross motor skills among non‑typically developing children? A meta‑analysis",,,
game,Counter-Strike,game_name,Counter-Strike,99,3,99,paper_096 | paper_249 | paper_280,"Underlying factors of social capital acquisition in the context of online-gaming: Comparing World of Warcraft and Counter-Strike | The amount of information available to the visual system is much greater than what we can fully process at any given time. It is therefore important that we select relevant information from the environment and ignore information that is irrelevant, particularly when this information | Action video games and improved attentional control: Disentangling selection- and response-based processes",,,
game,Minecraft,game_name,Minecraft,84,3,76,paper_011 | paper_071 | paper_296,Gaming for peace: Virtual contact through cooperative video gaming increases children's intergroup tolerance in the context of the Israeli–Palestinian conflict | Video games can develop graduate skills in higher education students: A randomised trial | Open Access Game-based learning and gamification in initial teacher training in the social sciences: an experiment with MinecraftEdu,,,
game,Xbox,game_name,Xbox,25,3,13,paper_169 | paper_259 | paper_267,The impact of narratives and active video games on long-term moderate-to- vigorous physical activity: A randomized controlled trial protocol | Open Access Rapid component of excess post-exercise oxygen consumption of children of different weight status after playing active video games | Are active video games useful in the development of gross motor skills among non‑typically developing children? A meta‑analysis,,,
game,MMORPGs,game_name,MMORPGs,16,3,15,paper_058 | paper_088 | paper_243,MMORPG gaming and hostility predict Internet Addiction symptoms in adolescents: An empirical multilevel longitudinal study☆ | The effects of collective MMORPG (Massively Multiplayer Online Role-Playing Games) play on gamers’ online and ofﬂine social capital | Vol.:(0123456789) International Review of Education (2020) 66:75–92,,,
game,mobile phones,game_name,mobile phones,16,3,16,paper_048 | paper_267 | paper_297,Serious digital games for diabetes Mellitus: A scoping review of its current | Are active video games useful in the development of gross motor skills among non‑typically developing children? A meta‑analysis | Open Access The effect of games and simulations on higher education: a systematic literature review,,,
